output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260120_080751\images\2025\01\14_seed40499.png,01/14/2025,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.125,0.109375,0.3515625,0.765625,0.90625,17.0,10.9375,True
stress_runs\20260120_080751\images\2025\01\14_seed40500.png,01/14/2025,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.6484375,0.0,0.8828125,0.3515625,0.90625,18.0,12.999999046325684,True
stress_runs\20260120_080751\images\2025\01\14_seed40501.png,01/14/2025,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan,0.12109375,0.0,0.6015625,0.0,0.875,0.3984375,0.87890625,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\15_seed40500.png,01/15/2025,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.65625,0.0,0.890625,0.34375,0.90625,18.0,12.999999046325684,True
stress_runs\20260120_080751\images\2025\01\15_seed40501.png,01/15/2025,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan,0.1171875,0.0,0.546875,0.0,0.8203125,0.453125,0.8828125,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\15_seed40502.png,01/15/2025,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.1640625,0.59375,0.0,0.90625,0.40625,0.703125,26.0,33.0,True
stress_runs\20260120_080751\images\2025\01\16_seed40501.png,01/16/2025,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan,0.12109375,0.0,0.6328125,0.0,0.90625,0.3671875,0.87890625,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\16_seed40502.png,01/16/2025,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.1640625,0.5859375,0.0,0.8984375,0.4140625,0.703125,26.0,33.0,True
stress_runs\20260120_080751\images\2025\01\16_seed40503.png,01/16/2025,2025-01-16,40503,A,handwriting_gan,pytorch_handwriting_gan,0.125,0.0,0.625,0.0,0.9296875,0.375,0.875,24.0,28.0,True
stress_runs\20260120_080751\images\2025\01\17_seed40502.png,01/17/2025,2025-01-17,40502,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.1640625,0.59375,0.0,0.90625,0.40625,0.703125,26.0,33.0,True
stress_runs\20260120_080751\images\2025\01\17_seed40503.png,01/17/2025,2025-01-17,40503,A,handwriting_gan,pytorch_handwriting_gan,0.125,0.0,0.6484375,0.0,0.953125,0.3515625,0.875,24.0,28.0,True
stress_runs\20260120_080751\images\2025\01\17_seed40504.png,01/17/2025,2025-01-17,40504,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.6796875,0.0,0.8984375,0.3203125,0.90625,17.0,10.499999046325684,True
stress_runs\20260120_080751\images\2025\01\18_seed40503.png,01/18/2025,2025-01-18,40503,A,handwriting_gan,pytorch_handwriting_gan,0.125,0.0,0.625,0.0,0.9296875,0.375,0.875,24.0,28.0,True
stress_runs\20260120_080751\images\2025\01\18_seed40504.png,01/18/2025,2025-01-18,40504,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.1015625,0.140625,0.3203125,0.7578125,0.91015625,16.0,14.0625,True
stress_runs\20260120_080751\images\2025\01\18_seed40505.png,01/18/2025,2025-01-18,40505,A,handwriting_gan,pytorch_handwriting_gan,0.1015625,0.0,0.125,0.1484375,0.3515625,0.7265625,0.8984375,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\19_seed40504.png,01/19/2025,2025-01-19,40504,A,handwriting_gan,pytorch_handwriting_gan,0.08984375,0.0,0.1015625,0.140625,0.3203125,0.7578125,0.91015625,16.0,14.0625,True
stress_runs\20260120_080751\images\2025\01\19_seed40505.png,01/19/2025,2025-01-19,40505,A,handwriting_gan,pytorch_handwriting_gan,0.1015625,0.0,0.125,0.1484375,0.3515625,0.7265625,0.8984375,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\19_seed40506.png,01/19/2025,2025-01-19,40506,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0,0.0703125,0.1484375,0.2890625,0.78125,0.89453125,17.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\20_seed40505.png,01/20/2025,2025-01-20,40505,A,handwriting_gan,pytorch_handwriting_gan,0.1015625,0.0,0.1171875,0.1484375,0.2734375,0.734375,0.8984375,18.0,14.84375,True
