output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,style_distance,ssim,psnr,perceptual_distance,perceptual_backend,nearest_reference
stress_runs\20260120_074203\images\2025\01\10_seed40497.png,01/10/2025,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan,17.117456436157227,0.7040057310063498,10.047534229527425,0.43754345178604126,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\11_seed40496.png,01/11/2025,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan,18.151376724243164,0.6432216467941803,8.753873880694252,0.5057346820831299,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\11_seed40497.png,01/11/2025,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan,17.117456436157227,0.7040057310063498,10.047534229527425,0.43754345178604126,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\11_seed40498.png,01/11/2025,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan,19.092195510864258,0.620817514812761,8.415291408873951,0.5261222124099731,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\12_seed40497.png,01/12/2025,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan,17.117456436157227,0.7040057310063498,10.047534229527425,0.43754345178604126,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\12_seed40498.png,01/12/2025,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan,19.092195510864258,0.620817514812761,8.415291408873951,0.5261222124099731,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\12_seed40499.png,01/12/2025,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan,17.60401725769043,0.6710902316207847,9.332190692505177,0.46197521686553955,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\13_seed40498.png,01/13/2025,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan,19.092195510864258,0.620817514812761,8.415291408873951,0.5261222124099731,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\13_seed40499.png,01/13/2025,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan,17.60401725769043,0.6710902316207847,9.332190692505177,0.46197521686553955,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\13_seed40500.png,01/13/2025,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan,18.307249069213867,0.635272309143433,8.753534288393759,0.4928242266178131,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\14_seed40499.png,01/14/2025,2025-01-14,40499,A,handwriting_gan,pytorch_handwriting_gan,17.60401725769043,0.6710902316207847,9.332190692505177,0.46197521686553955,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\14_seed40500.png,01/14/2025,2025-01-14,40500,A,handwriting_gan,pytorch_handwriting_gan,18.307249069213867,0.635272309143433,8.753534288393759,0.4928242266178131,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\14_seed40501.png,01/14/2025,2025-01-14,40501,A,handwriting_gan,pytorch_handwriting_gan,18.928077697753906,0.6142558478633459,8.371030747016349,0.5409010648727417,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\15_seed40500.png,01/15/2025,2025-01-15,40500,A,handwriting_gan,pytorch_handwriting_gan,18.307249069213867,0.635272309143433,8.753534288393759,0.4928242266178131,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\15_seed40501.png,01/15/2025,2025-01-15,40501,A,handwriting_gan,pytorch_handwriting_gan,18.928077697753906,0.6142558478633459,8.371030747016349,0.5409010648727417,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\15_seed40502.png,01/15/2025,2025-01-15,40502,A,handwriting_gan,pytorch_handwriting_gan,20.58042335510254,0.5771363549434974,8.130664249145127,0.5961235761642456,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\16_seed40501.png,01/16/2025,2025-01-16,40501,A,handwriting_gan,pytorch_handwriting_gan,18.928077697753906,0.6142558478633459,8.371030747016349,0.5409010648727417,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\16_seed40502.png,01/16/2025,2025-01-16,40502,A,handwriting_gan,pytorch_handwriting_gan,20.58042335510254,0.5771363549434974,8.130664249145127,0.5961235761642456,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\16_seed40503.png,01/16/2025,2025-01-16,40503,A,handwriting_gan,pytorch_handwriting_gan,19.835025787353516,0.5850541660982234,8.191177212368611,0.5738461017608643,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\17_seed40502.png,01/17/2025,2025-01-17,40502,A,handwriting_gan,pytorch_handwriting_gan,20.58042335510254,0.5771363549434974,8.130664249145127,0.5961235761642456,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\17_seed40503.png,01/17/2025,2025-01-17,40503,A,handwriting_gan,pytorch_handwriting_gan,19.835025787353516,0.5850541660982234,8.191177212368611,0.5738461017608643,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\17_seed40504.png,01/17/2025,2025-01-17,40504,A,handwriting_gan,pytorch_handwriting_gan,18.039159774780273,0.6411488742570634,8.894367019068506,0.4724637269973755,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\18_seed40503.png,01/18/2025,2025-01-18,40503,A,handwriting_gan,pytorch_handwriting_gan,19.835025787353516,0.5850541660982234,8.191177212368611,0.5738461017608643,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\18_seed40504.png,01/18/2025,2025-01-18,40504,A,handwriting_gan,pytorch_handwriting_gan,18.039159774780273,0.6411488742570634,8.894367019068506,0.4724637269973755,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\18_seed40505.png,01/18/2025,2025-01-18,40505,A,handwriting_gan,pytorch_handwriting_gan,17.672256469726562,0.660728621773369,9.10817708252868,0.45843201875686646,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\19_seed40504.png,01/19/2025,2025-01-19,40504,A,handwriting_gan,pytorch_handwriting_gan,18.039159774780273,0.6411488742570634,8.894367019068506,0.4724637269973755,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\19_seed40505.png,01/19/2025,2025-01-19,40505,A,handwriting_gan,pytorch_handwriting_gan,17.672256469726562,0.660728621773369,9.10817708252868,0.45843201875686646,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
stress_runs\20260120_074203\images\2025\01\19_seed40506.png,01/19/2025,2025-01-19,40506,A,handwriting_gan,pytorch_handwriting_gan,18.020618438720703,0.6513266090659438,9.073069397854699,0.4783846139907837,lpips,normalized_cache\dated_signatures\signature_friday_1_16_26.png
